TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/02(Wed)-01:00,2019-01-02 1:00,0.006,0.017,0.025,0.5,30,18.0
2019.01/02(Wed)-02:00,2019-01-02 2:00,0.006,0.018000000000000002,0.025,0.5,30,18.0
2019.01/02(Wed)-03:00,2019-01-02 3:00,0.006,0.028,0.015,0.6,35,22.0
2019.01/02(Wed)-04:00,2019-01-02 4:00,0.005,0.039,0.005,0.7,40,26.0
2019.01/02(Wed)-05:00,2019-01-02 5:00,0.005,0.039,0.005,0.7,43,28.0
2019.01/02(Wed)-06:00,2019-01-02 6:00,0.006,0.044,0.002,0.7,40,28.0
2019.01/02(Wed)-07:00,2019-01-02 7:00,0.005,0.045,0.002,0.7,38,24.0
2019.01/02(Wed)-08:00,2019-01-02 8:00,0.005,0.053,0.002,0.8,36,22.0
2019.01/02(Wed)-09:00,2019-01-02 9:00,0.006999999999999999,0.06,0.003,1.0,46,28.0
2019.01/02(Wed)-10:00,2019-01-02 10:00,0.009000000000000001,0.051,0.006999999999999999,0.9,50,30.0
2019.01/02(Wed)-11:00,2019-01-02 11:00,0.01,0.031,0.015,0.7,40,23.0
2019.01/02(Wed)-12:00,2019-01-02 12:00,0.009000000000000001,0.026,0.021,0.7,43,25.0
2019.01/02(Wed)-13:00,2019-01-02 13:00,0.006999999999999999,0.022,0.026,0.6,45,24.0
2019.01/02(Wed)-14:00,2019-01-02 14:00,0.006999999999999999,0.014,0.033,0.5,35,19.0
2019.01/02(Wed)-15:00,2019-01-02 15:00,0.006,0.014,0.035,0.5,31,18.0
2019.01/02(Wed)-16:00,2019-01-02 16:00,0.006,0.014,0.036000000000000004,0.6,26,14.0
2019.01/02(Wed)-17:00,2019-01-02 17:00,0.005,0.016,0.033,0.5,28,18.0
2019.01/02(Wed)-18:00,2019-01-02 18:00,0.005,0.019,0.03,0.6,31,19.0
2019.01/02(Wed)-19:00,2019-01-02 19:00,0.005,0.026,0.023,0.6,33,18.0
2019.01/02(Wed)-20:00,2019-01-02 20:00,0.005,0.026,0.023,0.6,39,22.0
2019.01/02(Wed)-21:00,2019-01-02 21:00,0.006,0.027000000000000003,0.021,0.6,38,19.0
2019.01/02(Wed)-22:00,2019-01-02 22:00,0.006,0.02,0.025,0.5,30,15.0
2019.01/02(Wed)-23:00,2019-01-02 23:00,0.005,0.016,0.028,0.5,32,16.0
2019.01/03(Thu)-00:00,2019-01-03 0:00,0.005,0.013,0.029,0.5,32,14.0
2019.01/03(Thu)-01:00,2019-01-03 1:00,0.006,0.032,0.013,0.5,31,15.0
2019.01/03(Thu)-02:00,2019-01-03 2:00,0.006999999999999999,0.024,0.019,0.6,31,16.0
2019.01/03(Thu)-03:00,2019-01-03 3:00,0.006999999999999999,0.018000000000000002,0.025,0.6,32,17.0
2019.01/03(Thu)-04:00,2019-01-03 4:00,0.008,0.02,0.022,0.5,33,19.0
2019.01/03(Thu)-05:00,2019-01-03 5:00,0.009000000000000001,0.024,0.018000000000000002,0.5,35,19.0
2019.01/03(Thu)-06:00,2019-01-03 6:00,0.01,0.028,0.014,0.6,40,23.0
2019.01/03(Thu)-07:00,2019-01-03 7:00,0.01,0.039,0.006999999999999999,0.6,36,21.0
2019.01/03(Thu)-08:00,2019-01-03 8:00,0.009000000000000001,0.051,0.002,0.8,39,21.0
2019.01/03(Thu)-09:00,2019-01-03 9:00,0.008,0.057,0.003,0.8,47,26.0
2019.01/03(Thu)-10:00,2019-01-03 10:00,0.008,0.057,0.006,0.8,54,32.0
2019.01/03(Thu)-11:00,2019-01-03 11:00,0.009000000000000001,0.056,0.009000000000000001,0.8,55,35.0
2019.01/03(Thu)-12:00,2019-01-03 12:00,0.012,0.044,0.014,0.7,60,31.0
2019.01/03(Thu)-13:00,2019-01-03 13:00,0.008,0.023,0.027000000000000003,0.5,42,22.0
2019.01/03(Thu)-14:00,2019-01-03 14:00,0.006999999999999999,0.025,0.025,0.5,31,14.0
2019.01/03(Thu)-15:00,2019-01-03 15:00,0.006999999999999999,0.024,0.027000000000000003,0.6,33,15.0
2019.01/03(Thu)-16:00,2019-01-03 16:00,0.006999999999999999,0.025,0.025,0.5,33,18.0
2019.01/03(Thu)-17:00,2019-01-03 17:00,0.006999999999999999,0.024,0.025,0.5,30,17.0
2019.01/03(Thu)-18:00,2019-01-03 18:00,0.006,0.029,0.02,0.5,26,13.0
2019.01/03(Thu)-19:00,2019-01-03 19:00,0.006,0.034,0.016,0.5,27,13.0
2019.01/03(Thu)-20:00,2019-01-03 20:00,0.006,0.019,0.031,0.5,23,12.0
2019.01/03(Thu)-21:00,2019-01-03 21:00,0.006,0.029,0.022,0.6,29,17.0
2019.01/03(Thu)-22:00,2019-01-03 22:00,0.009000000000000001,0.043,0.009000000000000001,0.6,31,19.0
2019.01/03(Thu)-23:00,2019-01-03 23:00,0.011,0.049,0.004,0.7,37,23.0
2019.01/04(Fri)-00:00,2019-01-04 0:00,0.009000000000000001,0.06,0.002,0.8,41,21.0
2019.01/04(Fri)-01:00,2019-01-04 1:00,0.008,0.06,0.002,0.8,41,23.0
2019.01/04(Fri)-02:00,2019-01-04 2:00,0.009000000000000001,0.063,0.002,1.0,51,29.0
2019.01/04(Fri)-03:00,2019-01-04 3:00,0.009000000000000001,0.062,0.002,1.0,56,37.0
2019.01/04(Fri)-04:00,2019-01-04 4:00,0.009000000000000001,0.059,0.002,0.9,47,30.0
2019.01/04(Fri)-05:00,2019-01-04 5:00,0.012,0.059,0.002,0.9,48,32.0
2019.01/04(Fri)-06:00,2019-01-04 6:00,0.011,0.056,0.002,0.8,53,35.0
2019.01/04(Fri)-07:00,2019-01-04 7:00,0.01,0.059,0.002,1.0,62,44.0
2019.01/04(Fri)-08:00,2019-01-04 8:00,0.009000000000000001,0.062,0.002,1.0,64,46.0
2019.01/04(Fri)-09:00,2019-01-04 9:00,0.01,0.07400000000000001,0.003,1.2,62,42.0
2019.01/04(Fri)-10:00,2019-01-04 10:00,0.01,0.073,0.004,1.1,71,49.0
2019.01/04(Fri)-11:00,2019-01-04 11:00,0.01,0.069,0.004,1.0,68,46.0
2019.01/04(Fri)-12:00,2019-01-04 12:00,0.01,0.07200000000000001,0.004,0.9,72,47.0
2019.01/04(Fri)-13:00,2019-01-04 13:00,0.01,0.064,0.006999999999999999,0.9,79,48.0
2019.01/04(Fri)-14:00,2019-01-04 14:00,0.009000000000000001,0.037000000000000005,0.015,0.7,50,31.0
2019.01/04(Fri)-15:00,2019-01-04 15:00,0.011,0.036000000000000004,0.015,0.6,49,31.0
2019.01/04(Fri)-16:00,2019-01-04 16:00,0.012,0.038,0.016,0.7,46,29.0
2019.01/04(Fri)-17:00,2019-01-04 17:00,0.011,0.04,0.013,0.6,43,27.0
2019.01/04(Fri)-18:00,2019-01-04 18:00,0.009000000000000001,0.042,0.01,0.7,42,29.0
2019.01/04(Fri)-19:00,2019-01-04 19:00,0.009000000000000001,0.048,0.006999999999999999,0.8,39,24.0
2019.01/04(Fri)-20:00,2019-01-04 20:00,0.008,0.049,0.004,0.7,40,26.0
2019.01/04(Fri)-21:00,2019-01-04 21:00,0.008,0.049,0.002,0.7,47,32.0
2019.01/04(Fri)-22:00,2019-01-04 22:00,0.008,0.051,0.002,0.8,54,37.0
